// Made in NPC Maker by BowieD
GUID b61c83d66de647f5a47a0dcb4eae18d5
Buying_10_Condition_0_Type Flag_Short
Buying_10_Condition_0_ID 33
Buying_10_Condition_0_Value 3000
Buying_10_Condition_0_Logic Less_Than

Buying_10_Condition_1_Type Flag_Short
Buying_10_Condition_1_ID 33
Buying_10_Condition_1_Value 2000
Buying_10_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_10_Rewards 1
Buying_10_Reward_0_Type Flag_Short
Buying_10_Reward_0_ID 33
Buying_10_Reward_0_Value 10
Buying_10_Reward_0_Modification Increment

Buying_11_ID 49115
Buying_11_Cost 320
Buying_11_Conditions 2
Buying_11_Condition_0_Type Flag_Short
Buying_11_Condition_0_ID 33
Buying_11_Condition_0_Value 3000
Buying_11_Condition_0_Logic Less_Than

Buying_11_Condition_1_Type Flag_Short
Buying_11_Condition_1_ID 33
Buying_11_Condition_1_Value 2000
Buying_11_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_11_Rewards 1
Buying_11_Reward_0_Type Flag_Short
Buying_11_Reward_0_ID 33
Buying_11_Reward_0_Value 10
Buying_11_Reward_0_Modification Increment

Buying_12_ID 49119
Buying_12_Cost 330
Buying_12_Conditions 2
Buying_12_Condition_0_Type Flag_Short
Buying_12_Condition_0_ID 33
Buying_12_Condition_0_Value 4000
Buying_12_Condition_0_Logic Less_Than

Buying_12_Condition_1_Type Flag_Short
Buying_12_Condition_1_ID 33
Buying_12_Condition_1_Value 3000
Buying_12_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_12_Rewards 1
Buying_12_Reward_0_Type Flag_Short
Buying_12_Reward_0_ID 33
Buying_12_Reward_0_Value 10
Buying_12_Reward_0_Modification Increment

Buying_13_ID 49117
Buying_13_Cost 330
Buying_13_Conditions 2
Buying_13_Condition_0_Type Flag_Short
Buying_13_Condition_0_ID 33
Buying_13_Condition_0_Value 4000
Buying_13_Condition_0_Logic Less_Than

Buying_13_Condition_1_Type Flag_Short
Buying_13_Condition_1_ID 33
Buying_13_Condition_1_Value 3000
Buying_13_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_13_Rewards 1
Buying_13_Reward_0_Type Flag_Short
Buying_13_Reward_0_ID 33
Buying_13_Reward_0_Value 10
Buying_13_Reward_0_Modification Increment

Buying_14_ID 49115
Buying_14_Cost 330
Buying_14_Conditions 2
Buying_14_Condition_0_Type Flag_Short
Buying_14_Condition_0_ID 33
Buying_14_Condition_0_Value 4000
Buying_14_Condition_0_Logic Less_Than

Buying_14_Condition_1_Type Flag_Short
Buying_14_Condition_1_ID 33
Buying_14_Condition_1_Value 3000
Buying_14_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_14_Rewards 1
Buying_14_Reward_0_Type Flag_Short
Buying_14_Reward_0_ID 33
Buying_14_Reward_0_Value 10
Buying_14_Reward_0_Modification Increment

Buying_15_ID 49119
Buying_15_Cost 340
Buying_15_Conditions 2
Buying_15_Condition_0_Type Flag_Short
Buying_15_Condition_0_ID 33
Buying_15_Condition_0_Value 5000
Buying_15_Condition_0_Logic Less_Than

Buying_15_Condition_1_Type Flag_Short
Buying_15_Condition_1_ID 33
Buying_15_Condition_1_Value 4000
Buying_15_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_15_Rewards 1
Buying_15_Reward_0_Type Flag_Short
Buying_15_Reward_0_ID 33
Buying_15_Reward_0_Value 10
Buying_15_Reward_0_Modification Increment

Buying_16_ID 49117
Buying_16_Cost 340
Buying_16_Conditions 2
Buying_16_Condition_0_Type Flag_Short
Buying_16_Condition_0_ID 33
Buying_16_Condition_0_Value 5000
Buying_16_Condition_0_Logic Less_Than

Buying_16_Condition_1_Type Flag_Short
Buying_16_Condition_1_ID 33
Buying_16_Condition_1_Value 4000
Buying_16_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_16_Rewards 1
Buying_16_Reward_0_Type Flag_Short
Buying_16_Reward_0_ID 33
Buying_16_Reward_0_Value 10
Buying_16_Reward_0_Modification Increment

Buying_17_ID 49115
Buying_17_Cost 340
Buying_17_Conditions 2
Buying_17_Condition_0_Type Flag_Short
Buying_17_Condition_0_ID 33
Buying_17_Condition_0_Value 5000
Buying_17_Condition_0_Logic Less_Than

Buying_17_Condition_1_Type Flag_Short
Buying_17_Condition_1_ID 33
Buying_17_Condition_1_Value 4000
Buying_17_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_17_Rewards 1
Buying_17_Reward_0_Type Flag_Short
Buying_17_Reward_0_ID 33
Buying_17_Reward_0_Value 10
Buying_17_Reward_0_Modification Increment

Buying_18_ID 49119
Buying_18_Cost 350
Buying_18_Conditions 2
Buying_18_Condition_0_Type Flag_Short
Buying_18_Condition_0_ID 33
Buying_18_Condition_0_Value 6000
Buying_18_Condition_0_Logic Less_Than

Buying_18_Condition_1_Type Flag_Short
Buying_18_Condition_1_ID 33
Buying_18_Condition_1_Value 5000
Buying_18_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_18_Rewards 1
Buying_18_Reward_0_Type Flag_Short
Buying_18_Reward_0_ID 33
Buying_18_Reward_0_Value 10
Buying_18_Reward_0_Modification Increment

Buying_19_ID 49117
Buying_19_Cost 350
Buying_19_Conditions 2
Buying_19_Condition_0_Type Flag_Short
Buying_19_Condition_0_ID 33
Buying_19_Condition_0_Value 6000
Buying_19_Condition_0_Logic Less_Than

Buying_19_Condition_1_Type Flag_Short
Buying_19_Condition_1_ID 33
Buying_19_Condition_1_Value 5000
Buying_19_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_19_Rewards 1
Buying_19_Reward_0_Type Flag_Short
Buying_19_Reward_0_ID 33
Buying_19_Reward_0_Value 10
Buying_19_Reward_0_Modification Increment

Buying_20_ID 49115
Buying_20_Cost 350
Buying_20_Conditions 2
Buying_20_Condition_0_Type Flag_Short
Buying_20_Condition_0_ID 33
Buying_20_Condition_0_Value 6000
Buying_20_Condition_0_Logic Less_Than

Buying_20_Condition_1_Type Flag_Short
Buying_20_Condition_1_ID 33
Buying_20_Condition_1_Value 5000
Buying_20_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_20_Rewards 1
Buying_20_Reward_0_Type Flag_Short
Buying_20_Reward_0_ID 33
Buying_20_Reward_0_Value 10
Buying_20_Reward_0_Modification Increment

Buying_21_ID 49119
Buying_21_Cost 360
Buying_21_Conditions 2
Buying_21_Condition_0_Type Flag_Short
Buying_21_Condition_0_ID 33
Buying_21_Condition_0_Value 7000
Buying_21_Condition_0_Logic Less_Than

Buying_21_Condition_1_Type Flag_Short
Buying_21_Condition_1_ID 33
Buying_21_Condition_1_Value 6000
Buying_21_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_21_Rewards 1
Buying_21_Reward_0_Type Flag_Short
Buying_21_Reward_0_ID 33
Buying_21_Reward_0_Value 10
Buying_21_Reward_0_Modification Increment

Buying_22_ID 49117
Buying_22_Cost 360
Buying_22_Conditions 2
Buying_22_Condition_0_Type Flag_Short
Buying_22_Condition_0_ID 33
Buying_22_Condition_0_Value 7000
Buying_22_Condition_0_Logic Less_Than

Buying_22_Condition_1_Type Flag_Short
Buying_22_Condition_1_ID 33
Buying_22_Condition_1_Value 6000
Buying_22_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_22_Rewards 1
Buying_22_Reward_0_Type Flag_Short
Buying_22_Reward_0_ID 33
Buying_22_Reward_0_Value 10
Buying_22_Reward_0_Modification Increment

Buying_23_ID 49115
Buying_23_Cost 360
Buying_23_Conditions 2
Buying_23_Condition_0_Type Flag_Short
Buying_23_Condition_0_ID 33
Buying_23_Condition_0_Value 7000
Buying_23_Condition_0_Logic Less_Than

Buying_23_Condition_1_Type Flag_Short
Buying_23_Condition_1_ID 33
Buying_23_Condition_1_Value 6000
Buying_23_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_23_Rewards 1
Buying_23_Reward_0_Type Flag_Short
Buying_23_Reward_0_ID 33
Buying_23_Reward_0_Value 10
Buying_23_Reward_0_Modification Increment

Buying_24_ID 49119
Buying_24_Cost 370
Buying_24_Conditions 2
Buying_24_Condition_0_Type Flag_Short
Buying_24_Condition_0_ID 33
Buying_24_Condition_0_Value 8000
Buying_24_Condition_0_Logic Less_Than

Buying_24_Condition_1_Type Flag_Short
Buying_24_Condition_1_ID 33
Buying_24_Condition_1_Value 7000
Buying_24_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_24_Rewards 1
Buying_24_Reward_0_Type Flag_Short
Buying_24_Reward_0_ID 33
Buying_24_Reward_0_Value 10
Buying_24_Reward_0_Modification Increment

Buying_25_ID 49117
Buying_25_Cost 370
Buying_25_Conditions 2
Buying_25_Condition_0_Type Flag_Short
Buying_25_Condition_0_ID 33
Buying_25_Condition_0_Value 8000
Buying_25_Condition_0_Logic Less_Than

Buying_25_Condition_1_Type Flag_Short
Buying_25_Condition_1_ID 33
Buying_25_Condition_1_Value 7000
Buying_25_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_25_Rewards 1
Buying_25_Reward_0_Type Flag_Short
Buying_25_Reward_0_ID 33
Buying_25_Reward_0_Value 10
Buying_25_Reward_0_Modification Increment

Buying_26_ID 49115
Buying_26_Cost 370
Buying_26_Conditions 2
Buying_26_Condition_0_Type Flag_Short
Buying_26_Condition_0_ID 33
Buying_26_Condition_0_Value 8000
Buying_26_Condition_0_Logic Less_Than

Buying_26_Condition_1_Type Flag_Short
Buying_26_Condition_1_ID 33
Buying_26_Condition_1_Value 7000
Buying_26_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_26_Rewards 1
Buying_26_Reward_0_Type Flag_Short
Buying_26_Reward_0_ID 33
Buying_26_Reward_0_Value 10
Buying_26_Reward_0_Modification Increment

Buying_27_ID 49119
Buying_27_Cost 380
Buying_27_Conditions 2
Buying_27_Condition_0_Type Flag_Short
Buying_27_Condition_0_ID 33
Buying_27_Condition_0_Value 9000
Buying_27_Condition_0_Logic Less_Than

Buying_27_Condition_1_Type Flag_Short
Buying_27_Condition_1_ID 33
Buying_27_Condition_1_Value 8000
Buying_27_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_27_Rewards 1
Buying_27_Reward_0_Type Flag_Short
Buying_27_Reward_0_ID 33
Buying_27_Reward_0_Value 10
Buying_27_Reward_0_Modification Increment

Buying_28_ID 49117
Buying_28_Cost 380
Buying_28_Conditions 2
Buying_28_Condition_0_Type Flag_Short
Buying_28_Condition_0_ID 33
Buying_28_Condition_0_Value 9000
Buying_28_Condition_0_Logic Less_Than

Buying_28_Condition_1_Type Flag_Short
Buying_28_Condition_1_ID 33
Buying_28_Condition_1_Value 8000
Buying_28_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_28_Rewards 1
Buying_28_Reward_0_Type Flag_Short
Buying_28_Reward_0_ID 33
Buying_28_Reward_0_Value 10
Buying_28_Reward_0_Modification Increment

Buying_29_ID 49115
Buying_29_Cost 380
Buying_29_Conditions 2
Buying_29_Condition_0_Type Flag_Short
Buying_29_Condition_0_ID 33
Buying_29_Condition_0_Value 9000
Buying_29_Condition_0_Logic Less_Than

Buying_29_Condition_1_Type Flag_Short
Buying_29_Condition_1_ID 33
Buying_29_Condition_1_Value 8000
Buying_29_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_29_Rewards 1
Buying_29_Reward_0_Type Flag_Short
Buying_29_Reward_0_ID 33
Buying_29_Reward_0_Value 10
Buying_29_Reward_0_Modification Increment

Buying_30_ID 49119
Buying_30_Cost 390
Buying_30_Conditions 2
Buying_30_Condition_0_Type Flag_Short
Buying_30_Condition_0_ID 33
Buying_30_Condition_0_Value 10000
Buying_30_Condition_0_Logic Less_Than

Buying_30_Condition_1_Type Flag_Short
Buying_30_Condition_1_ID 33
Buying_30_Condition_1_Value 9000
Buying_30_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_30_Rewards 1
Buying_30_Reward_0_Type Flag_Short
Buying_30_Reward_0_ID 33
Buying_30_Reward_0_Value 10
Buying_30_Reward_0_Modification Increment

Buying_31_ID 49117
Buying_31_Cost 390
Buying_31_Conditions 2
Buying_31_Condition_0_Type Flag_Short
Buying_31_Condition_0_ID 33
Buying_31_Condition_0_Value 10000
Buying_31_Condition_0_Logic Less_Than

Buying_31_Condition_1_Type Flag_Short
Buying_31_Condition_1_ID 33
Buying_31_Condition_1_Value 9000
Buying_31_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_31_Rewards 1
Buying_31_Reward_0_Type Flag_Short
Buying_31_Reward_0_ID 33
Buying_31_Reward_0_Value 10
Buying_31_Reward_0_Modification Increment

Buying_32_ID 49115
Buying_32_Cost 390
Buying_32_Conditions 2
Buying_32_Condition_0_Type Flag_Short
Buying_32_Condition_0_ID 33
Buying_32_Condition_0_Value 10000
Buying_32_Condition_0_Logic Less_Than

Buying_32_Condition_1_Type Flag_Short
Buying_32_Condition_1_ID 33
Buying_32_Condition_1_Value 9000
Buying_32_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_32_Rewards 1
Buying_32_Reward_0_Type Flag_Short
Buying_32_Reward_0_ID 33
Buying_32_Reward_0_Value 10
Buying_32_Reward_0_Modification Increment

Buying_33_ID 49119
Buying_33_Cost 400
Buying_33_Conditions 2
Buying_33_Condition_0_Type Flag_Short
Buying_33_Condition_0_ID 33
Buying_33_Condition_0_Value 11000
Buying_33_Condition_0_Logic Less_Than

Buying_33_Condition_1_Type Flag_Short
Buying_33_Condition_1_ID 33
Buying_33_Condition_1_Value 10000
Buying_33_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_33_Rewards 1
Buying_33_Reward_0_Type Flag_Short
Buying_33_Reward_0_ID 33
Buying_33_Reward_0_Value 10
Buying_33_Reward_0_Modification Increment

Buying_34_ID 49117
Buying_34_Cost 400
Buying_34_Conditions 2
Buying_34_Condition_0_Type Flag_Short
Buying_34_Condition_0_ID 33
Buying_34_Condition_0_Value 11000
Buying_34_Condition_0_Logic Less_Than

Buying_34_Condition_1_Type Flag_Short
Buying_34_Condition_1_ID 33
Buying_34_Condition_1_Value 10000
Buying_34_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_34_Rewards 1
Buying_34_Reward_0_Type Flag_Short
Buying_34_Reward_0_ID 33
Buying_34_Reward_0_Value 10
Buying_34_Reward_0_Modification Increment

Buying_35_ID 49115
Buying_35_Cost 400
Buying_35_Conditions 2
Buying_35_Condition_0_Type Flag_Short
Buying_35_Condition_0_ID 33
Buying_35_Condition_0_Value 11000
Buying_35_Condition_0_Logic Less_Than

Buying_35_Condition_1_Type Flag_Short
Buying_35_Condition_1_ID 33
Buying_35_Condition_1_Value 10000
Buying_35_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_35_Rewards 1
Buying_35_Reward_0_Type Flag_Short
Buying_35_Reward_0_ID 33
Buying_35_Reward_0_Value 10
Buying_35_Reward_0_Modification Increment

Buying_36_ID 49119
Buying_36_Cost 410
Buying_36_Conditions 2
Buying_36_Condition_0_Type Flag_Short
Buying_36_Condition_0_ID 33
Buying_36_Condition_0_Value 12000
Buying_36_Condition_0_Logic Less_Than

Buying_36_Condition_1_Type Flag_Short
Buying_36_Condition_1_ID 33
Buying_36_Condition_1_Value 11000
Buying_36_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_36_Rewards 1
Buying_36_Reward_0_Type Flag_Short
Buying_36_Reward_0_ID 33
Buying_36_Reward_0_Value 10
Buying_36_Reward_0_Modification Increment

Buying_37_ID 49117
Buying_37_Cost 410
Buying_37_Conditions 2
Buying_37_Condition_0_Type Flag_Short
Buying_37_Condition_0_ID 33
Buying_37_Condition_0_Value 12000
Buying_37_Condition_0_Logic Less_Than

Buying_37_Condition_1_Type Flag_Short
Buying_37_Condition_1_ID 33
Buying_37_Condition_1_Value 11000
Buying_37_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_37_Rewards 1
Buying_37_Reward_0_Type Flag_Short
Buying_37_Reward_0_ID 33
Buying_37_Reward_0_Value 10
Buying_37_Reward_0_Modification Increment

Buying_38_ID 49115
Buying_38_Cost 410
Buying_38_Conditions 2
Buying_38_Condition_0_Type Flag_Short
Buying_38_Condition_0_ID 33
Buying_38_Condition_0_Value 12000
Buying_38_Condition_0_Logic Less_Than

Buying_38_Condition_1_Type Flag_Short
Buying_38_Condition_1_ID 33
Buying_38_Condition_1_Value 11000
Buying_38_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_38_Rewards 1
Buying_38_Reward_0_Type Flag_Short
Buying_38_Reward_0_ID 33
Buying_38_Reward_0_Value 10
Buying_38_Reward_0_Modification Increment

Buying_39_ID 49119
Buying_39_Cost 420
Buying_39_Conditions 2
Buying_39_Condition_0_Type Flag_Short
Buying_39_Condition_0_ID 33
Buying_39_Condition_0_Value 13000
Buying_39_Condition_0_Logic Less_Than

Buying_39_Condition_1_Type Flag_Short
Buying_39_Condition_1_ID 33
Buying_39_Condition_1_Value 12000
Buying_39_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_39_Rewards 1
Buying_39_Reward_0_Type Flag_Short
Buying_39_Reward_0_ID 33
Buying_39_Reward_0_Value 10
Buying_39_Reward_0_Modification Increment

Buying_40_ID 49117
Buying_40_Cost 420
Buying_40_Conditions 2
Buying_40_Condition_0_Type Flag_Short
Buying_40_Condition_0_ID 33
Buying_40_Condition_0_Value 13000
Buying_40_Condition_0_Logic Less_Than

Buying_40_Condition_1_Type Flag_Short
Buying_40_Condition_1_ID 33
Buying_40_Condition_1_Value 12000
Buying_40_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_40_Rewards 1
Buying_40_Reward_0_Type Flag_Short
Buying_40_Reward_0_ID 33
Buying_40_Reward_0_Value 10
Buying_40_Reward_0_Modification Increment

Buying_41_ID 49115
Buying_41_Cost 420
Buying_41_Conditions 2
Buying_41_Condition_0_Type Flag_Short
Buying_41_Condition_0_ID 33
Buying_41_Condition_0_Value 13000
Buying_41_Condition_0_Logic Less_Than

Buying_41_Condition_1_Type Flag_Short
Buying_41_Condition_1_ID 33
Buying_41_Condition_1_Value 12000
Buying_41_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_41_Rewards 1
Buying_41_Reward_0_Type Flag_Short
Buying_41_Reward_0_ID 33
Buying_41_Reward_0_Value 10
Buying_41_Reward_0_Modification Increment

Buying_42_ID 49119
Buying_42_Cost 430
Buying_42_Conditions 2
Buying_42_Condition_0_Type Flag_Short
Buying_42_Condition_0_ID 33
Buying_42_Condition_0_Value 14000
Buying_42_Condition_0_Logic Less_Than

Buying_42_Condition_1_Type Flag_Short
Buying_42_Condition_1_ID 33
Buying_42_Condition_1_Value 13000
Buying_42_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_42_Rewards 1
Buying_42_Reward_0_Type Flag_Short
Buying_42_Reward_0_ID 33
Buying_42_Reward_0_Value 10
Buying_42_Reward_0_Modification Increment

Buying_43_ID 49117
Buying_43_Cost 430
Buying_43_Conditions 2
Buying_43_Condition_0_Type Flag_Short
Buying_43_Condition_0_ID 33
Buying_43_Condition_0_Value 14000
Buying_43_Condition_0_Logic Less_Than

Buying_43_Condition_1_Type Flag_Short
Buying_43_Condition_1_ID 33
Buying_43_Condition_1_Value 13000
Buying_43_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_43_Rewards 1
Buying_43_Reward_0_Type Flag_Short
Buying_43_Reward_0_ID 33
Buying_43_Reward_0_Value 10
Buying_43_Reward_0_Modification Increment

Buying_44_ID 49115
Buying_44_Cost 430
Buying_44_Conditions 2
Buying_44_Condition_0_Type Flag_Short
Buying_44_Condition_0_ID 33
Buying_44_Condition_0_Value 14000
Buying_44_Condition_0_Logic Less_Than

Buying_44_Condition_1_Type Flag_Short
Buying_44_Condition_1_ID 33
Buying_44_Condition_1_Value 13000
Buying_44_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_44_Rewards 1
Buying_44_Reward_0_Type Flag_Short
Buying_44_Reward_0_ID 33
Buying_44_Reward_0_Value 10
Buying_44_Reward_0_Modification Increment

Buying_45_ID 49119
Buying_45_Cost 440
Buying_45_Conditions 2
Buying_45_Condition_0_Type Flag_Short
Buying_45_Condition_0_ID 33
Buying_45_Condition_0_Value 15000
Buying_45_Condition_0_Logic Less_Than

Buying_45_Condition_1_Type Flag_Short
Buying_45_Condition_1_ID 33
Buying_45_Condition_1_Value 14000
Buying_45_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_45_Rewards 1
Buying_45_Reward_0_Type Flag_Short
Buying_45_Reward_0_ID 33
Buying_45_Reward_0_Value 10
Buying_45_Reward_0_Modification Increment

Buying_46_ID 49117
Buying_46_Cost 440
Buying_46_Conditions 2
Buying_46_Condition_0_Type Flag_Short
Buying_46_Condition_0_ID 33
Buying_46_Condition_0_Value 15000
Buying_46_Condition_0_Logic Less_Than

Buying_46_Condition_1_Type Flag_Short
Buying_46_Condition_1_ID 33
Buying_46_Condition_1_Value 14000
Buying_46_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_46_Rewards 1
Buying_46_Reward_0_Type Flag_Short
Buying_46_Reward_0_ID 33
Buying_46_Reward_0_Value 10
Buying_46_Reward_0_Modification Increment

Buying_47_ID 49115
Buying_47_Cost 440
Buying_47_Conditions 2
Buying_47_Condition_0_Type Flag_Short
Buying_47_Condition_0_ID 33
Buying_47_Condition_0_Value 15000
Buying_47_Condition_0_Logic Less_Than

Buying_47_Condition_1_Type Flag_Short
Buying_47_Condition_1_ID 33
Buying_47_Condition_1_Value 14000
Buying_47_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_47_Rewards 1
Buying_47_Reward_0_Type Flag_Short
Buying_47_Reward_0_ID 33
Buying_47_Reward_0_Value 10
Buying_47_Reward_0_Modification Increment

Buying_48_ID 49119
Buying_48_Cost 450
Buying_48_Conditions 1
Buying_48_Condition_0_Type Flag_Short
Buying_48_Condition_0_ID 33
Buying_48_Condition_0_Value 15000
Buying_48_Condition_0_Allow_Unset 
Buying_48_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_49_ID 49117
Buying_49_Cost 450
Buying_49_Conditions 1
Buying_49_Condition_0_Type Flag_Short
Buying_49_Condition_0_ID 33
Buying_49_Condition_0_Value 15000
Buying_49_Condition_0_Allow_Unset 
Buying_49_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_50_ID 49115
Buying_50_Cost 450
Buying_50_Conditions 1
Buying_50_Condition_0_Type Flag_Short
Buying_50_Condition_0_ID 33
Buying_50_Condition_0_Value 15000
Buying_50_Condition_0_Allow_Unset 
Buying_50_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_51_ID 41
