// Made in NPC Maker by BowieD
GUID 369b52dc42ad47998dab644efc96fd5f
Buying_4_Reward_0_ID 24202
Buying_4_Reward_0_Value 1
Buying_4_Reward_0_Modification Increment

Buying_5_ID 512
Buying_5_Cost 110
Buying_5_Conditions 2
Buying_5_Condition_0_Type Flag_Short
Buying_5_Condition_0_ID 24202
Buying_5_Condition_0_Value 300
Buying_5_Condition_0_Allow_Unset 
Buying_5_Condition_0_Logic Less_Than

Buying_5_Condition_1_Type Flag_Short
Buying_5_Condition_1_ID 24202
Buying_5_Condition_1_Value 250
Buying_5_Condition_1_Allow_Unset 
Buying_5_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_5_Rewards 1
Buying_5_Reward_0_Type Flag_Short
Buying_5_Reward_0_ID 24202
Buying_5_Reward_0_Value 1
Buying_5_Reward_0_Modification Increment

Buying_6_ID 512
Buying_6_Cost 111
Buying_6_Conditions 2
Buying_6_Condition_0_Type Flag_Short
Buying_6_Condition_0_ID 24202
Buying_6_Condition_0_Value 350
Buying_6_Condition_0_Allow_Unset 
Buying_6_Condition_0_Logic Less_Than

Buying_6_Condition_1_Type Flag_Short
Buying_6_Condition_1_ID 24202
Buying_6_Condition_1_Value 300
Buying_6_Condition_1_Allow_Unset 
Buying_6_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_6_Rewards 1
Buying_6_Reward_0_Type Flag_Short
Buying_6_Reward_0_ID 24202
Buying_6_Reward_0_Value 1
Buying_6_Reward_0_Modification Increment

Buying_7_ID 512
Buying_7_Cost 112
Buying_7_Conditions 2
Buying_7_Condition_0_Type Flag_Short
Buying_7_Condition_0_ID 24202
Buying_7_Condition_0_Value 400
Buying_7_Condition_0_Allow_Unset 
Buying_7_Condition_0_Logic Less_Than

Buying_7_Condition_1_Type Flag_Short
Buying_7_Condition_1_ID 24202
Buying_7_Condition_1_Value 350
Buying_7_Condition_1_Allow_Unset 
Buying_7_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_7_Rewards 1
Buying_7_Reward_0_Type Flag_Short
Buying_7_Reward_0_ID 24202
Buying_7_Reward_0_Value 1
Buying_7_Reward_0_Modification Increment

Buying_8_ID 512
Buying_8_Cost 113
Buying_8_Conditions 2
Buying_8_Condition_0_Type Flag_Short
Buying_8_Condition_0_ID 24202
Buying_8_Condition_0_Value 450
Buying_8_Condition_0_Allow_Unset 
Buying_8_Condition_0_Logic Less_Than

Buying_8_Condition_1_Type Flag_Short
Buying_8_Condition_1_ID 24202
Buying_8_Condition_1_Value 400
Buying_8_Condition_1_Allow_Unset 
Buying_8_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_8_Rewards 1
Buying_8_Reward_0_Type Flag_Short
Buying_8_Reward_0_ID 24202
Buying_8_Reward_0_Value 1
Buying_8_Reward_0_Modification Increment

Buying_9_ID 512
Buying_9_Cost 114
Buying_9_Conditions 2
Buying_9_Condition_0_Type Flag_Short
Buying_9_Condition_0_ID 24202
Buying_9_Condition_0_Value 500
Buying_9_Condition_0_Allow_Unset 
Buying_9_Condition_0_Logic Less_Than

Buying_9_Condition_1_Type Flag_Short
Buying_9_Condition_1_ID 24202
Buying_9_Condition_1_Value 450
Buying_9_Condition_1_Allow_Unset 
Buying_9_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_9_Rewards 1
Buying_9_Reward_0_Type Flag_Short
Buying_9_Reward_0_ID 24202
Buying_9_Reward_0_Value 1
Buying_9_Reward_0_Modification Increment

Buying_10_ID 512
Buying_10_Cost 115
Buying_10_Conditions 2
Buying_10_Condition_0_Type Flag_Short
Buying_10_Condition_0_ID 24202
Buying_10_Condition_0_Value 550
Buying_10_Condition_0_Allow_Unset 
Buying_10_Condition_0_Logic Less_Than

Buying_10_Condition_1_Type Flag_Short
Buying_10_Condition_1_ID 24202
Buying_10_Condition_1_Value 500
Buying_10_Condition_1_Allow_Unset 
Buying_10_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_10_Rewards 1
Buying_10_Reward_0_Type Flag_Short
Buying_10_Reward_0_ID 24202
Buying_10_Reward_0_Value 1
Buying_10_Reward_0_Modification Increment

Buying_11_ID 512
Buying_11_Cost 116
Buying_11_Conditions 2
Buying_11_Condition_0_Type Flag_Short
Buying_11_Condition_0_ID 24202
Buying_11_Condition_0_Value 600
Buying_11_Condition_0_Allow_Unset 
Buying_11_Condition_0_Logic Less_Than

Buying_11_Condition_1_Type Flag_Short
Buying_11_Condition_1_ID 24202
Buying_11_Condition_1_Value 550
Buying_11_Condition_1_Allow_Unset 
Buying_11_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_11_Rewards 1
Buying_11_Reward_0_Type Flag_Short
Buying_11_Reward_0_ID 24202
Buying_11_Reward_0_Value 1
Buying_11_Reward_0_Modification Increment

Buying_12_ID 512
Buying_12_Cost 117
Buying_12_Conditions 2
Buying_12_Condition_0_Type Flag_Short
Buying_12_Condition_0_ID 24202
Buying_12_Condition_0_Value 650
Buying_12_Condition_0_Allow_Unset 
Buying_12_Condition_0_Logic Less_Than

Buying_12_Condition_1_Type Flag_Short
Buying_12_Condition_1_ID 24202
Buying_12_Condition_1_Value 600
Buying_12_Condition_1_Allow_Unset 
Buying_12_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_12_Rewards 1
Buying_12_Reward_0_Type Flag_Short
Buying_12_Reward_0_ID 24202
Buying_12_Reward_0_Value 1
Buying_12_Reward_0_Modification Increment

Buying_13_ID 512
Buying_13_Cost 118
Buying_13_Conditions 2
Buying_13_Condition_0_Type Flag_Short
Buying_13_Condition_0_ID 24202
Buying_13_Condition_0_Value 700
Buying_13_Condition_0_Allow_Unset 
Buying_13_Condition_0_Logic Less_Than

Buying_13_Condition_1_Type Flag_Short
Buying_13_Condition_1_ID 24202
Buying_13_Condition_1_Value 650
Buying_13_Condition_1_Allow_Unset 
Buying_13_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_13_Rewards 1
Buying_13_Reward_0_Type Flag_Short
Buying_13_Reward_0_ID 24202
Buying_13_Reward_0_Value 1
Buying_13_Reward_0_Modification Increment

Buying_14_ID 512
Buying_14_Cost 119
Buying_14_Conditions 2
Buying_14_Condition_0_Type Flag_Short
Buying_14_Condition_0_ID 24202
Buying_14_Condition_0_Value 750
Buying_14_Condition_0_Allow_Unset 
Buying_14_Condition_0_Logic Less_Than

Buying_14_Condition_1_Type Flag_Short
Buying_14_Condition_1_ID 24202
Buying_14_Condition_1_Value 700
Buying_14_Condition_1_Allow_Unset 
Buying_14_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_14_Rewards 1
Buying_14_Reward_0_Type Flag_Short
Buying_14_Reward_0_ID 24202
Buying_14_Reward_0_Value 1
Buying_14_Reward_0_Modification Increment

Buying_15_ID 512
Buying_15_Cost 120
Buying_15_Conditions 1
Buying_15_Condition_0_Type Flag_Short
Buying_15_Condition_0_ID 24202
Buying_15_Condition_0_Value 750
Buying_15_Condition_0_Allow_Unset 
Buying_15_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_16_ID 513
Buying_16_Cost 105
Buying_16_Conditions 1
Buying_16_Condition_0_Type Flag_Short
Buying_16_Condition_0_ID 24202
Buying_16_Condition_0_Value 50
Buying_16_Condition_0_Allow_Unset 
Buying_16_Condition_0_Logic Less_Than

Buying_16_Rewards 1
Buying_16_Reward_0_Type Flag_Short
Buying_16_Reward_0_ID 24202
Buying_16_Reward_0_Value 1
Buying_16_Reward_0_Modification Increment

Buying_17_ID 513
Buying_17_Cost 106
Buying_17_Conditions 2
Buying_17_Condition_0_Type Flag_Short
Buying_17_Condition_0_ID 24202
Buying_17_Condition_0_Value 100
Buying_17_Condition_0_Allow_Unset 
Buying_17_Condition_0_Logic Less_Than

Buying_17_Condition_1_Type Flag_Short
Buying_17_Condition_1_ID 24202
Buying_17_Condition_1_Value 50
Buying_17_Condition_1_Allow_Unset 
Buying_17_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_17_Rewards 1
Buying_17_Reward_0_Type Flag_Short
Buying_17_Reward_0_ID 24202
Buying_17_Reward_0_Value 1
Buying_17_Reward_0_Modification Increment

Buying_18_ID 513
Buying_18_Cost 107
Buying_18_Conditions 2
Buying_18_Condition_0_Type Flag_Short
Buying_18_Condition_0_ID 24202
Buying_18_Condition_0_Value 150
Buying_18_Condition_0_Allow_Unset 
Buying_18_Condition_0_Logic Less_Than

Buying_18_Condition_1_Type Flag_Short
Buying_18_Condition_1_ID 24202
Buying_18_Condition_1_Value 100
Buying_18_Condition_1_Allow_Unset 
Buying_18_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_18_Rewards 1
Buying_18_Reward_0_Type Flag_Short
Buying_18_Reward_0_ID 24202
Buying_18_Reward_0_Value 1
Buying_18_Reward_0_Modification Increment

Buying_19_ID 513
Buying_19_Cost 108
Buying_19_Conditions 2
Buying_19_Condition_0_Type Flag_Short
Buying_19_Condition_0_ID 24202
Buying_19_Condition_0_Value 200
Buying_19_Condition_0_Allow_Unset 
Buying_19_Condition_0_Logic Less_Than

Buying_19_Condition_1_Type Flag_Short
Buying_19_Condition_1_ID 24202
Buying_19_Condition_1_Value 150
Buying_19_Condition_1_Allow_Unset 
Buying_19_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_19_Rewards 1
Buying_19_Reward_0_Type Flag_Short
Buying_19_Reward_0_ID 24202
Buying_19_Reward_0_Value 1
Buying_19_Reward_0_Modification Increment

Buying_20_ID 513
Buying_20_Cost 109
Buying_20_Conditions 2
Buying_20_Condition_0_Type Flag_Short
Buying_20_Condition_0_ID 24202
Buying_20_Condition_0_Value 250
Buying_20_Condition_0_Allow_Unset 
Buying_20_Condition_0_Logic Less_Than

Buying_20_Condition_1_Type Flag_Short
Buying_20_Condition_1_ID 24202
Buying_20_Condition_1_Value 200
Buying_20_Condition_1_Allow_Unset 
Buying_20_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_20_Rewards 1
Buying_20_Reward_0_Type Flag_Short
Buying_20_Reward_0_ID 24202
Buying_20_Reward_0_Value 1
Buying_20_Reward_0_Modification Increment

Buying_21_ID 513
Buying_21_Cost 110
Buying_21_Conditions 2
Buying_21_Condition_0_Type Flag_Short
Buying_21_Condition_0_ID 24202
Buying_21_Condition_0_Value 300
Buying_21_Condition_0_Allow_Unset 
Buying_21_Condition_0_Logic Less_Than

Buying_21_Condition_1_Type Flag_Short
Buying_21_Condition_1_ID 24202
Buying_21_Condition_1_Value 250
Buying_21_Condition_1_Allow_Unset 
Buying_21_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_21_Rewards 1
Buying_21_Reward_0_Type Flag_Short
Buying_21_Reward_0_ID 24202
Buying_21_Reward_0_Value 1
Buying_21_Reward_0_Modification Increment

Buying_22_ID 513
Buying_22_Cost 111
Buying_22_Conditions 2
Buying_22_Condition_0_Type Flag_Short
Buying_22_Condition_0_ID 24202
Buying_22_Condition_0_Value 350
Buying_22_Condition_0_Allow_Unset 
Buying_22_Condition_0_Logic Less_Than

Buying_22_Condition_1_Type Flag_Short
Buying_22_Condition_1_ID 24202
Buying_22_Condition_1_Value 300
Buying_22_Condition_1_Allow_Unset 
Buying_22_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_22_Rewards 1
Buying_22_Reward_0_Type Flag_Short
Buying_22_Reward_0_ID 24202
Buying_22_Reward_0_Value 1
Buying_22_Reward_0_Modification Increment

Buying_23_ID 513
Buying_23_Cost 112
Buying_23_Conditions 2
Buying_23_Condition_0_Type Flag_Short
Buying_23_Condition_0_ID 24202
Buying_23_Condition_0_Value 400
Buying_23_Condition_0_Allow_Unset 
Buying_23_Condition_0_Logic Less_Than

Buying_23_Condition_1_Type Flag_Short
Buying_23_Condition_1_ID 24202
Buying_23_Condition_1_Value 350
Buying_23_Condition_1_Allow_Unset 
Buying_23_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_23_Rewards 1
Buying_23_Reward_0_Type Flag_Short
Buying_23_Reward_0_ID 24202
Buying_23_Reward_0_Value 1
Buying_23_Reward_0_Modification Increment

Buying_24_ID 513
Buying_24_Cost 113
Buying_24_Conditions 2
Buying_24_Condition_0_Type Flag_Short
Buying_24_Condition_0_ID 24202
Buying_24_Condition_0_Value 450
Buying_24_Condition_0_Allow_Unset 
Buying_24_Condition_0_Logic Less_Than

Buying_24_Condition_1_Type Flag_Short
Buying_24_Condition_1_ID 24202
Buying_24_Condition_1_Value 400
Buying_24_Condition_1_Allow_Unset 
Buying_24_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_24_Rewards 1
Buying_24_Reward_0_Type Flag_Short
Buying_24_Reward_0_ID 24202
Buying_24_Reward_0_Value 1
Buying_24_Reward_0_Modification Increment

Buying_25_ID 513
Buying_25_Cost 114
Buying_25_Conditions 2
Buying_25_Condition_0_Type Flag_Short
Buying_25_Condition_0_ID 24202
Buying_25_Condition_0_Value 500
Buying_25_Condition_0_Allow_Unset 
Buying_25_Condition_0_Logic Less_Than

Buying_25_Condition_1_Type Flag_Short
Buying_25_Condition_1_ID 24202
Buying_25_Condition_1_Value 450
Buying_25_Condition_1_Allow_Unset 
Buying_25_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_25_Rewards 1
Buying_25_Reward_0_Type Flag_Short
Buying_25_Reward_0_ID 24202
Buying_25_Reward_0_Value 1
Buying_25_Reward_0_Modification Increment

Buying_26_ID 513
Buying_26_Cost 115
Buying_26_Conditions 2
Buying_26_Condition_0_Type Flag_Short
Buying_26_Condition_0_ID 24202
Buying_26_Condition_0_Value 550
Buying_26_Condition_0_Allow_Unset 
Buying_26_Condition_0_Logic Less_Than

Buying_26_Condition_1_Type Flag_Short
Buying_26_Condition_1_ID 24202
Buying_26_Condition_1_Value 500
Buying_26_Condition_1_Allow_Unset 
Buying_26_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_26_Rewards 1
Buying_26_Reward_0_Type Flag_Short
Buying_26_Reward_0_ID 24202
Buying_26_Reward_0_Value 1
Buying_26_Reward_0_Modification Increment

Buying_27_ID 513
Buying_27_Cost 116
Buying_27_Conditions 2
Buying_27_Condition_0_Type Flag_Short
Buying_27_Condition_0_ID 24202
Buying_27_Condition_0_Value 600
Buying_27_Condition_0_Allow_Unset 
Buying_27_Condition_0_Logic Less_Than

Buying_27_Condition_1_Type Flag_Short
Buying_27_Condition_1_ID 24202
Buying_27_Condition_1_Value 550
Buying_27_Condition_1_Allow_Unset 
Buying_27_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_27_Rewards 1
Buying_27_Reward_0_Type Flag_Short
Buying_27_Reward_0_ID 24202
Buying_27_Reward_0_Value 1
Buying_27_Reward_0_Modification Increment

Buying_28_ID 513
Buying_28_Cost 117
Buying_28_Conditions 2
Buying_28_Condition_0_Type Flag_Short
Buying_28_Condition_0_ID 24202
Buying_28_Condition_0_Value 650
Buying_28_Condition_0_Allow_Unset 
Buying_28_Condition_0_Logic Less_Than

Buying_28_Condition_1_Type Flag_Short
Buying_28_Condition_1_ID 24202
Buying_28_Condition_1_Value 600
Buying_28_Condition_1_Allow_Unset 
Buying_28_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_28_Rewards 1
Buying_28_Reward_0_Type Flag_Short
Buying_28_Reward_0_ID 24202
Buying_28_Reward_0_Value 1
Buying_28_Reward_0_Modification Increment

Buying_29_ID 513
Buying_29_Cost 118
Buying_29_Conditions 2
Buying_29_Condition_0_Type Flag_Short
Buying_29_Condition_0_ID 24202
Buying_29_Condition_0_Value 700
Buying_29_Condition_0_Allow_Unset 
Buying_29_Condition_0_Logic Less_Than

Buying_29_Condition_1_Type Flag_Short
Buying_29_Condition_1_ID 24202
Buying_29_Condition_1_Value 650
Buying_29_Condition_1_Allow_Unset 
Buying_29_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_29_Rewards 1
Buying_29_Reward_0_Type Flag_Short
Buying_29_Reward_0_ID 24202
Buying_29_Reward_0_Value 1
Buying_29_Reward_0_Modification Increment

Buying_30_ID 513
Buying_30_Cost 119
Buying_30_Conditions 2
Buying_30_Condition_0_Type Flag_Short
Buying_30_Condition_0_ID 24202
Buying_30_Condition_0_Value 750
Buying_30_Condition_0_Allow_Unset 
Buying_30_Condition_0_Logic Less_Than

Buying_30_Condition_1_Type Flag_Short
Buying_30_Condition_1_ID 24202
Buying_30_Condition_1_Value 700
Buying_30_Condition_1_Allow_Unset 
Buying_30_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_30_Rewards 1
Buying_30_Reward_0_Type Flag_Short
Buying_30_Reward_0_ID 24202
Buying_30_Reward_0_Value 1
Buying_30_Reward_0_Modification Increment

Buying_31_ID 513
Buying_31_Cost 120
Buying_31_Conditions 1
Buying_31_Condition_0_Type Flag_Short
Buying_31_Condition_0_ID 24202
Buying_31_Condition_0_Value 750
Buying_31_Condition_0_Allow_Unset 
Buying_31_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_32_ID 1348
Buying_32_Cost 105
Buying_32_Conditions 1
Buying_32_Condition_0_Type Flag_Short
Buying_32_Condition_0_ID 24202
Buying_32_Condition_0_Value 50
Buying_32_Condition_0_Allow_Unset 
Buying_32_Condition_0_Logic Less_Than

Buying_32_Rewards 1
Buying_32_Reward_0_Type Flag_Short
Buying_32_Reward_0_ID 24202
Buying_32_Reward_0_Value 1
Buying_32_Reward_0_Modification Increment

Buying_33_ID 1348
Buying_33_Cost 106
Buying_33_Conditions 2
Buying_33_Condition_0_Type Flag_Short
Buying_33_Condition_0_ID 24202
Buying_33_Condition_0_Value 100
Buying_33_Condition_0_Allow_Unset 
Buying_33_Condition_0_Logic Less_Than

Buying_33_Condition_1_Type Flag_Short
Buying_33_Condition_1_ID 24202
Buying_33_Condition_1_Value 50
Buying_33_Condition_1_Allow_Unset 
Buying_33_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_33_Rewards 1
Buying_33_Reward_0_Type Flag_Short
Buying_33_Reward_0_ID 24202
Buying_33_Reward_0_Value 1
Buying_33_Reward_0_Modification Increment

Buying_34_ID 1348
Buying_34_Cost 107
Buying_34_Conditions 2
Buying_34_Condition_0_Type Flag_Short
Buying_34_Condition_0_ID 24202
Buying_34_Condition_0_Value 150
Buying_34_Condition_0_Allow_Unset 
Buying_34_Condition_0_Logic Less_Than

Buying_34_Condition_1_Type Flag_Short
Buying_34_Condition_1_ID 24202
Buying_34_Condition_1_Value 100
Buying_34_Condition_1_Allow_Unset 
Buying_34_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_34_Rewards 1
Buying_34_Reward_0_Type Flag_Short
Buying_34_Reward_0_ID 24202
Buying_34_Reward_0_Value 1
Buying_34_Reward_0_Modification Increment

Buying_35_ID 1348
Buying_35_Cost 108
Buying_35_Conditions 2
Buying_35_Condition_0_Type Flag_Short
Buying_35_Condition_0_ID 24202
Buying_35_Condition_0_Value 200
Buying_35_Condition_0_Allow_Unset 
Buying_35_Condition_0_Logic Less_Than

Buying_35_Condition_1_Type Flag_Short
Buying_35_Condition_1_ID 24202
Buying_35_Condition_1_Value 150
Buying_35_Condition_1_Allow_Unset 
Buying_35_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_35_Rewards 1
Buying_35_Reward_0_Type Flag_Short
Buying_35_Reward_0_ID 24202
Buying_35_Reward_0_Value 1
Buying_35_Reward_0_Modification Increment

Buying_36_ID 1348
Buying_36_Cost 109
Buying_36_Conditions 2
Buying_36_Condition_0_Type Flag_Short
Buying_36_Condition_0_ID 24202
Buying_36_Condition_0_Value 250
Buying_36_Condition_0_Allow_Unset 
Buying_36_Condition_0_Logic Less_Than

Buying_36_Condition_1_Type Flag_Short
Buying_36_Condition_1_ID 24202
Buying_36_Condition_1_Value 200
Buying_36_Condition_1_Allow_Unset 
Buying_36_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_36_Rewards 1
Buying_36_Reward_0_Type Flag_Short
Buying_36_Reward_0_ID 24202
Buying_36_Reward_0_Value 1
Buying_36_Reward_0_Modification Increment

Buying_37_ID 1348
Buying_37_Cost 110
Buying_37_Conditions 2
Buying_37_Condition_0_Type Flag_Short
Buying_37_Condition_0_ID 24202
Buying_37_Condition_0_Value 300
Buying_37_Condition_0_Allow_Unset 
Buying_37_Condition_0_Logic Less_Than

Buying_37_Condition_1_Type Flag_Short
Buying_37_Condition_1_ID 24202
Buying_37_Condition_1_Value 250
Buying_37_Condition_1_Allow_Unset 
Buying_37_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_37_Rewards 1
Buying_37_Reward_0_Type Flag_Short
Buying_37_Reward_0_ID 24202
Buying_37_Reward_0_Value 1
Buying_37_Reward_0_Modification Increment

Buying_38_ID 1348
Buying_38_Cost 111
Buying_38_Conditions 2
Buying_38_Condition_0_Type Flag_Short
Buying_38_Condition_0_ID 24202
Buying_38_Condition_0_Value 350
Buying_38_Condition_0_Allow_Unset 
Buying_38_Condition_0_Logic Less_Than

Buying_38_Condition_1_Type Flag_Short
Buying_38_Condition_1_ID 24202
Buying_38_Condition_1_Value 300
Buying_38_Condition_1_Allow_Unset 
Buying_38_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_38_Rewards 1
Buying_38_Reward_0_Type Flag_Short
Buying_38_Reward_0_ID 24202
Buying_38_Reward_0_Value 1
Buying_38_Reward_0_Modification Increment

Buying_39_ID 1348
Buying_39_Cost 112
Buying_39_Conditions 2
Buying_39_Condition_0_Type Flag_Short
Buying_39_Condition_0_ID 24202
Buying_39_Condition_0_Value 400
Buying_39_Condition_0_Allow_Unset 
Buying_39_Condition_0_Logic Less_Than

Buying_39_Condition_1_Type Flag_Short
Buying_39_Condition_1_ID 24202
Buying_39_Condition_1_Value 350
Buying_39_Condition_1_Allow_Unset 
Buying_39_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_39_Rewards 1
Buying_39_Reward_0_Type Flag_Short
Buying_39_Reward_0_ID 24202
Buying_39_Reward_0_Value 1
Buying_39_Reward_0_Modification Increment

Buying_40_ID 1348
Buying_40_Cost 113
Buying_40_Conditions 2
Buying_40_Condition_0_Type Flag_Short
Buying_40_Condition_0_ID 24202
Buying_40_Condition_0_Value 450
Buying_40_Condition_0_Allow_Unset 
Buying_40_Condition_0_Logic Less_Than

Buying_40_Condition_1_Type Flag_Short
Buying_40_Condition_1_ID 24202
Buying_40_Condition_1_Value 400
Buying_40_Condition_1_Allow_Unset 
Buying_40_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_40_Rewards 1
Buying_40_Reward_0_Type Flag_Short
Buying_40_Reward_0_ID 24202
Buying_40_Reward_0_Value 1
Buying_40_Reward_0_Modification Increment

Buying_41_ID 1348
Buying_41_Cost 114
Buying_41_Conditions 2
Buying_41_Condition_0_Type Flag_Short
Buying_41_Condition_0_ID 24202
Buying_41_Condition_0_Value 500
Buying_41_Condition_0_Allow_Unset 
Buying_41_Condition_0_Logic Less_Than

Buying_41_Condition_1_Type Flag_Short
Buying_41_Condition_1_ID 24202
Buying_41_Condition_1_Value 450
Buying_41_Condition_1_Allow_Unset 
Buying_41_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_41_Rewards 1
Buying_41_Reward_0_Type Flag_Short
Buying_41_Reward_0_ID 24202
Buying_41_Reward_0_Value 1
Buying_41_Reward_0_Modification Increment

Buying_42_ID 1348
Buying_42_Cost 115
Buying_42_Conditions 2
Buying_42_Condition_0_Type Flag_Short
Buying_42_Condition_0_ID 24202
Buying_42_Condition_0_Value 550
Buying_42_Condition_0_Allow_Unset 
Buying_42_Condition_0_Logic Less_Than

Buying_42_Condition_1_Type Flag_Short
Buying_42_Condition_1_ID 24202
Buying_42_Condition_1_Value 500
Buying_42_Condition_1_Allow_Unset 
Buying_42_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_42_Rewards 1
Buying_42_Reward_0_Type Flag_Short
Buying_42_Reward_0_ID 24202
Buying_42_Reward_0_Value 1
Buying_42_Reward_0_Modification Increment

Buying_43_ID 1348
Buying_43_Cost 116
Buying_43_Conditions 2
Buying_43_Condition_0_Type Flag_Short
Buying_43_Condition_0_ID 24202
Buying_43_Condition_0_Value 600
Buying_43_Condition_0_Allow_Unset 
Buying_43_Condition_0_Logic Less_Than

Buying_43_Condition_1_Type Flag_Short
Buying_43_Condition_1_ID 24202
Buying_43_Condition_1_Value 550
Buying_43_Condition_1_Allow_Unset 
Buying_43_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_43_Rewards 1
