// Made in NPC Maker by BowieD
GUID 5af270af66714ee9be0f829a127e10ca
Response_5_Reward_3_ID 1104
Response_5_Reward_3_Amount 1
Response_5_Reward_3_Auto_Equip False

Response_5_Reward_4_Type Item
Response_5_Reward_4_ID 1108
Response_5_Reward_4_Amount 1
Response_5_Reward_4_Auto_Equip False

Response_5_Reward_5_Type Item
Response_5_Reward_5_ID 1109
Response_5_Reward_5_Amount 1
Response_5_Reward_5_Auto_Equip False

Response_5_Reward_6_Type Item
Response_5_Reward_6_ID 1105
Response_5_Reward_6_Amount 1
Response_5_Reward_6_Auto_Equip False

Response_5_Reward_7_Type Item
Response_5_Reward_7_ID 4744
Response_5_Reward_7_Amount 1
Response_5_Reward_7_Auto_Equip False

Response_5_Reward_8_Type Item
Response_5_Reward_8_ID 1107
Response_5_Reward_8_Amount 1
Response_5_Reward_8_Auto_Equip False

Response_6_Messages 2
Response_6_Message_0 5
Response_6_Message_1 6
Response_6_Vendor 24102
Response_7_Messages 2
Response_7_Message_0 5
Response_7_Message_1 6
Response_7_Vendor 24103
